temperatura_ambiente_c,temperatura_entrada_chiller_c,temperatura_saida_chiller_c,pressao_agua_saida_bar,setpoint_inicial_c,status_bomba_primaria,status_bomba_secundaria,status_valvula_bloqueio,ajuste_setpoint_c,comando_habilitacao
18.727005942368123,14.15969893075671,13.560607246291942,3.287983513134371,11.130826494856041,1,0,0,0.0,0
47.53571532049581,13.644257967519994,10.541067393677324,4.221729317199945,5.896249983156828,1,1,1,-2.66,1
36.59969709057025,36.71891031823628,35.94518160098444,4.040643719160636,13.596340196902965,1,0,1,0.0,0
29.93292420985183,13.734116994732714,13.734116994732714,1.6155996187750947,10.744278629761656,0,1,1,0.0,0
7.800932022121826,14.518240414502085,14.518240414502085,1.5969978789658956,5.729242719126496,0,0,0,0.0,0
7.799726016810133,31.57893918462873,29.732970711509036,2.0726974709796533,14.585718632293275,0,0,1,0.0,0
2.9041806084099733,20.740894485768898,19.816423378576033,2.444298905364149,9.702020096688527,1,0,1,0.0,0
43.308807288746756,32.18486949343134,30.554112697818802,2.6338223256339304,4.801882970588205,1,0,0,0.0,0
30.05575058716044,7.2878155147534835,6.259647499713724,3.718788867333381,10.89516194856574,0,1,0,0.0,0
35.40362888980228,22.06499177856845,21.994040702148112,1.2267217286633416,6.785187977140913,0,1,0,0.0,0
1.0292247147901223,6.176476006414893,5.638411789428458,1.1386908169042655,12.840627970650328,1,0,0,0.0,0
48.49549260809972,7.192862120937408,1.0,2.567642251775636,12.996042809228097,1,1,1,2.4,1
41.622132040021086,36.72531086705438,34.84455389145007,3.788654768551922,14.76842091440128,1,0,0,0.0,0
10.616955533913808,9.87358798911583,9.87358798911583,1.7737413718259303,9.52056484126954,1,0,1,0.0,0
9.091248360355031,23.6347238796326,22.009792703760247,3.566017925025007,9.004525677005109,0,1,0,0.0,0
9.17022549267169,19.38834609102473,17.61611267514192,2.039312551761198,12.288231659911286,1,0,0,0.0,0
15.212112147976885,17.157016419059495,16.145769875082625,4.544344435254065,5.457177219761192,1,0,1,0.0,0
26.237821581611893,36.494167099054536,34.70036721685052,4.582759777066466,10.016070651724366,0,0,1,0.0,0
21.597250932105787,5.763818887142133,5.570183124710027,2.189148817125306,10.00872360143936,0,0,1,0.0,0
14.561457009902096,28.23263901614562,26.37359048802429,1.919975015852962,4.9842043509142595,1,0,0,0.0,0
30.592644736118974,38.71880519747427,37.61045656597634,2.645215888264925,8.59782494057605,0,1,0,0.0,0
6.974693032602092,24.605886421164467,22.26984028181397,1.9621263407205949,13.386132784239221,1,1,1,-1.24,1
14.607232426760907,37.788786171158215,28.533803516605794,3.6895353731668146,13.417689841941263,1,1,1,-0.52,1
18.318092164684586,6.829025775010832,6.375607347911254,4.304258738193142,5.091614314116491,0,0,0,0.0,0
22.803499210851797,19.657766167595646,19.276785213262148,3.692368523644868,4.997929710226139,0,0,1,0.0,0
39.25879806965068,14.10552268367179,13.406122865732886,4.297401788997398,6.889650247021288,1,0,1,0.0,0
9.983689107917987,30.578733774325542,30.578733774325542,2.5879686488298965,13.622426688093928,0,0,0,0.0,0
25.71172192068058,39.34539816740363,38.93790002170143,1.6252678828354434,5.417928435808488,1,0,1,0.0,0
29.620728443102124,13.978552185548674,12.485170535395437,3.9518037895903686,11.91996482890191,1,0,0,0.0,0
2.3225206359998865,27.896111051592605,27.896111051592605,2.4418980205662155,5.112821815744136,1,1,0,0.0,0
30.37724259507192,11.933417146590905,11.933417146590905,3.68508330091653,10.85451639122608,0,0,0,0.0,0
8.526206184364577,24.786558910006345,22.76692221845559,2.0825757679270627,7.916740290310592,1,1,1,-1.88,1
3.252579649263976,21.237637034091765,20.99050310664222,1.3249185392266907,12.678053592624536,1,0,1,0.0,0
47.44427686266666,39.0201865371038,31.19366245315392,4.9703271819510535,6.570594937078999,1,1,1,-3.43,1
48.28160165372797,26.29845454437633,24.902139057032443,1.6248060317223971,11.031220123289557,0,0,1,0.0,0
40.419867405823055,17.23272302303866,15.39715373965764,4.953683975853924,6.592507880334734,1,1,0,0.0,0
15.230688458668535,8.993352471077667,8.167838632165308,4.90911973026579,11.850263114233691,1,1,0,0.0,0
4.883605700319194,10.29363900572271,10.29363900572271,4.175272415632159,13.610458380168236,1,0,1,0.0,0
34.211651325607846,12.886092548293227,11.11364870088313,3.6376918483279903,5.394819790394361,0,0,1,0.0,0
22.007624686980066,13.78383314691043,5.581307115867421,3.311228201004339,13.53255257455054,1,1,1,0.82,1
6.101911742238942,34.771562024439824,34.04827657543039,4.464406181511339,10.529327798557278,1,0,1,0.0,0
24.75884550556351,24.64279758988837,23.55587694273156,2.1577580864779518,5.398215399537264,0,0,0,0.0,0
1.7194260557609198,23.318681898102824,21.545732833080535,2.870724849939508,8.702960408956832,0,0,1,0.0,0
45.4660201039391,9.016910515422612,7.879728430003848,3.4775598774660077,5.769463228336077,1,1,0,0.0,0
12.938999080000846,35.10488926723022,34.999765744476015,2.6447619034779644,11.703826777532264,1,0,1,0.0,0
33.1261142176991,30.29850061229693,22.594274993984158,2.709945816361072,12.347549478597447,1,1,1,-0.86,1
15.585553804470548,7.368392666500055,7.368392666500055,2.3211386700083376,5.163761723000789,0,1,1,0.0,0
26.00340105889054,29.774228403041903,29.614981717550158,3.256927266738144,9.567538379641087,0,0,0,0.0,0
27.335513967163983,24.02383760699261,18.773253352227975,4.402298112060464,12.960875616285088,1,1,1,-1.63,1
9.242722776276352,7.860387101137238,7.860387101137238,1.8061135120252514,14.297793457060962,0,0,0,0.0,0
48.47923138822793,21.040522453502977,21.040522453502977,4.737732155013766,9.64869653415947,1,0,0,0.0,0
38.75664116805573,21.964370049551643,18.8973201564497,3.7563506149929187,14.453071459725477,1,1,1,-2.57,1
46.97494707820945,10.80210890571465,9.838244418323486,4.293092850720121,9.892578675016328,0,1,0,0.0,0
44.74136752138244,38.09943514500988,36.692568695918816,3.2247627705200466,8.336095440598989,1,1,0,0.0,0
29.894998940554256,34.74913800182317,32.78452752364225,4.1180668056962535,13.33023441408185,0,1,0,0.0,0
46.093711751155844,28.41578180651879,28.376691297193307,1.0648015893578688,9.42280981503898,0,1,1,0.0,0
4.424625102595975,21.180344635021253,20.38220696823795,4.273521699118141,9.190927616209754,1,0,0,0.0,0
9.79914312095726,19.411793955457796,17.60035905501243,1.160555436341466,9.393437383508111,0,1,0,0.0,0
2.2613644455269033,27.784071350283394,27.784071350283394,4.55965350545145,13.314635020567199,1,0,1,0.0,0
16.266516538163216,24.090115429241692,22.937178670213463,4.967850988954574,13.151356958568574,0,0,1,0.0,0
